Squad,# Pl_x,Age_x,Poss_x,Playing Time_MP_x,Playing Time_Starts_x,Playing Time_Min_x,Playing Time_90s_x,Performance_Gls_x,Performance_Ast_x,Performance_G+A_x,Performance_G-PK_x,Performance_PK_x,Performance_PKatt_x,Performance_CrdY_x,Performance_CrdR_x,Expected_xG_x,Expected_npxG_x,Expected_xAG_x,Expected_npxG+xAG_x,Progression_PrgC_x,Progression_PrgP_x,Per 90 Minutes_Gls_x,Per 90 Minutes_Ast_x,Per 90 Minutes_G+A_x,Per 90 Minutes_G-PK_x,Per 90 Minutes_G+A-PK_x,Per 90 Minutes_xG_x,Per 90 Minutes_xAG_x,Per 90 Minutes_xG+xAG_x,Per 90 Minutes_npxG_x,Per 90 Minutes_npxG+xAG_x,# Pl_y,Age_y,Poss_y,Playing Time_MP_y,Playing Time_Starts_y,Playing Time_Min_y,Playing Time_90s_y,Performance_Gls_y,Performance_Ast_y,Performance_G+A_y,Performance_G-PK_y,Performance_PK_y,Performance_PKatt_y,Performance_CrdY_y,Performance_CrdR_y,Expected_xG_y,Expected_npxG_y,Expected_xAG_y,Expected_npxG+xAG_y,Progression_PrgC_y,Progression_PrgP_y,Per 90 Minutes_Gls_y,Per 90 Minutes_Ast_y,Per 90 Minutes_G+A_y,Per 90 Minutes_G-PK_y,Per 90 Minutes_G+A-PK_y,Per 90 Minutes_xG_y,Per 90 Minutes_xAG_y,Per 90 Minutes_xG+xAG_y,Per 90 Minutes_npxG_y,Per 90 Minutes_npxG+xAG_y
Leicester,32,26.6,45.4,38,418,3420,38.0,33,25,58,31,2,3,87,0,32.6,30.4,25.1,55.5,576,1082,0.87,0.66,1.53,0.82,1.47,0.86,0.66,1.52,0.8,1.46,32,26.3,54.6,38,418,3420,38.0,77,57,134,74,3,4,58,2,71.9,68.8,52.2,121.0,735,1755,2.03,1.5,3.53,1.95,3.45,1.89,1.37,3.27,1.81,3.19
Liverpool,24,27.2,57.7,38,418,3420,38.0,85,65,150,76,9,9,67,3,82.2,75.2,61.6,136.8,826,1924,2.24,1.71,3.95,2.0,3.71,2.16,1.62,3.78,1.98,3.6,24,26.1,42.3,38,418,3420,38.0,39,28,67,38,1,2,84,2,38.6,36.9,29.4,66.2,683,1091,1.03,0.74,1.76,1.0,1.74,1.02,0.77,1.79,0.97,1.74
Man City,30,26.8,61.3,38,418,3420,38.0,71,51,122,68,3,4,59,2,68.1,64.9,54.2,119.1,1146,1944,1.87,1.34,3.21,1.79,3.13,1.79,1.43,3.22,1.71,3.13,30,26.2,38.7,38,418,3420,38.0,42,32,74,38,4,4,88,2,47.7,44.6,37.2,81.7,546,912,1.11,0.84,1.95,1.0,1.84,1.26,0.98,2.23,1.17,2.15
Manchester Utd,31,25.5,53.5,38,418,3420,38.0,42,29,71,38,4,4,86,3,52.6,49.4,39.7,89.1,697,1448,1.11,0.76,1.87,1.0,1.76,1.38,1.04,2.43,1.3,2.35,31,26.4,46.5,38,418,3420,38.0,52,36,88,49,3,4,71,3,53.8,50.8,38.4,89.2,672,1184,1.37,0.95,2.32,1.29,2.24,1.42,1.01,2.43,1.34,2.35
Newcastle Utd,24,27.4,51.3,38,418,3420,38.0,66,50,116,61,5,6,68,1,63.8,59.5,46.0,105.5,759,1595,1.74,1.32,3.05,1.61,2.92,1.68,1.21,2.89,1.57,2.78,24,26.3,48.7,38,418,3420,38.0,45,41,86,44,1,2,97,3,45.5,44.0,35.9,79.9,667,1273,1.18,1.08,2.26,1.16,2.24,1.2,0.94,2.14,1.16,2.1
Nott'ham Forest,23,26.1,41.2,38,418,3420,38.0,57,42,99,54,3,3,90,2,45.5,43.2,33.0,76.2,633,1125,1.5,1.11,2.61,1.42,2.53,1.2,0.87,2.07,1.14,2.0,23,26.2,58.8,38,418,3420,38.0,46,35,81,43,3,3,104,2,48.9,46.5,35.2,81.7,966,1886,1.21,0.92,2.13,1.13,2.05,1.29,0.93,2.21,1.22,2.15
Southampton,36,25.2,48.5,38,418,3420,38.0,25,16,41,25,0,2,89,3,32.7,30.9,24.8,55.8,640,1127,0.66,0.42,1.08,0.66,1.08,0.86,0.65,1.51,0.81,1.47,36,26.2,51.5,38,418,3420,38.0,86,61,147,79,7,9,54,1,84.8,77.9,63.0,140.9,814,1647,2.26,1.61,3.87,2.08,3.68,2.23,1.66,3.89,2.05,3.71
Tottenham,31,25.0,54.7,38,418,3420,38.0,61,47,108,58,3,4,72,1,58.8,55.7,44.4,100.1,840,1593,1.61,1.24,2.84,1.53,2.76,1.55,1.17,2.72,1.47,2.63,31,26.2,45.3,38,418,3420,38.0,61,43,104,58,3,3,85,3,63.3,60.9,46.3,107.2,660,1330,1.61,1.13,2.74,1.53,2.66,1.67,1.22,2.88,1.6,2.82
West Ham,27,28.1,48.4,38,418,3420,38.0,43,29,72,40,3,3,82,3,47.0,44.7,33.9,78.6,632,1222,1.13,0.76,1.89,1.05,1.82,1.24,0.89,2.13,1.18,2.07,27,26.1,51.6,38,418,3420,38.0,59,45,104,56,3,3,56,1,59.7,57.4,47.6,105.0,832,1622,1.55,1.18,2.74,1.47,2.66,1.57,1.25,2.82,1.51,2.76
Wolves,32,26.9,48.1,38,418,3420,38.0,53,42,95,53,0,0,79,2,43.7,43.7,35.4,79.1,607,1185,1.39,1.11,2.5,1.39,2.5,1.15,0.93,2.08,1.15,2.08,32,26.2,51.9,38,418,3420,38.0,66,47,113,59,7,9,85,3,58.1,51.0,41.5,92.5,767,1534,1.74,1.24,2.97,1.55,2.79,1.53,1.09,2.62,1.34,2.44
