Squad,# Pl_x,Age_x,Poss_x,Playing Time_MP_x,Playing Time_Starts_x,Playing Time_Min_x,Playing Time_90s_x,Performance_Gls_x,Performance_Ast_x,Performance_G+A_x,Performance_G-PK_x,Performance_PK_x,Performance_PKatt_x,Performance_CrdY_x,Performance_CrdR_x,Expected_xG_x,Expected_npxG_x,Expected_xAG_x,Expected_npxG+xAG_x,Progression_PrgC_x,Progression_PrgP_x,Per 90 Minutes_Gls_x,Per 90 Minutes_Ast_x,Per 90 Minutes_G+A_x,Per 90 Minutes_G-PK_x,Per 90 Minutes_G+A-PK_x,Per 90 Minutes_xG_x,Per 90 Minutes_xAG_x,Per 90 Minutes_xG+xAG_x,Per 90 Minutes_npxG_x,Per 90 Minutes_npxG+xAG_x,# Pl_y,Age_y,Poss_y,Playing Time_MP_y,Playing Time_Starts_y,Playing Time_Min_y,Playing Time_90s_y,Performance_Gls_y,Performance_Ast_y,Performance_G+A_y,Performance_G-PK_y,Performance_PK_y,Performance_PKatt_y,Performance_CrdY_y,Performance_CrdR_y,Expected_xG_y,Expected_npxG_y,Expected_xAG_y,Expected_npxG+xAG_y,Progression_PrgC_y,Progression_PrgP_y,Per 90 Minutes_Gls_y,Per 90 Minutes_Ast_y,Per 90 Minutes_G+A_y,Per 90 Minutes_G-PK_y,Per 90 Minutes_G+A-PK_y,Per 90 Minutes_xG_y,Per 90 Minutes_xAG_y,Per 90 Minutes_xG+xAG_y,Per 90 Minutes_npxG_y,Per 90 Minutes_npxG+xAG_y
Arsenal,25,25.8,56.9,38,418,3420,38.0,67,55,122,65,2,2,70,6,59.9,58.4,45.3,103.6,852,1826,1.76,1.45,3.21,1.71,3.16,1.58,1.19,2.77,1.54,2.73,25,26.1,43.1,38,418,3420,38.0,34,24,58,31,3,3,83,2,34.4,32.0,24.5,56.6,618,938,0.89,0.63,1.53,0.82,1.45,0.91,0.65,1.55,0.84,1.49
Aston Villa,28,27.0,50.5,38,418,3420,38.0,56,45,101,53,3,6,76,4,56.1,51.3,41.7,93.0,720,1344,1.47,1.18,2.66,1.39,2.58,1.48,1.1,2.57,1.35,2.45,28,26.3,49.5,38,418,3420,38.0,51,36,87,49,2,3,104,2,50.1,47.8,36.4,84.2,688,1315,1.34,0.95,2.29,1.29,2.24,1.32,0.96,2.28,1.26,2.22
Bournemouth,29,25.1,48.5,38,418,3420,38.0,57,41,98,51,6,7,97,3,64.0,58.5,43.8,102.3,754,1489,1.5,1.08,2.58,1.34,2.42,1.68,1.15,2.84,1.54,2.69,29,26.4,51.5,38,418,3420,38.0,46,36,82,42,4,4,94,5,48.5,45.3,36.5,81.8,685,1295,1.21,0.95,2.16,1.11,2.05,1.28,0.96,2.24,1.19,2.15
Brentford,28,25.8,47.9,38,418,3420,38.0,65,44,109,60,5,6,62,1,59.0,54.4,42.4,96.8,598,1356,1.71,1.16,2.87,1.58,2.74,1.55,1.12,2.67,1.43,2.55,28,26.4,52.1,38,418,3420,38.0,54,42,96,53,1,1,82,3,55.4,54.7,43.3,97.9,835,1562,1.42,1.11,2.53,1.39,2.5,1.46,1.14,2.6,1.44,2.58
Brighton,32,24.8,52.3,38,418,3420,38.0,64,41,105,57,7,7,78,3,58.7,53.3,40.4,93.7,816,1539,1.68,1.08,2.76,1.5,2.58,1.54,1.06,2.61,1.4,2.47,32,26.2,47.7,38,418,3420,38.0,57,39,96,48,9,9,93,5,54.6,47.7,41.3,88.9,607,1209,1.5,1.03,2.53,1.26,2.29,1.44,1.09,2.52,1.25,2.34
Chelsea,29,23.7,57.1,38,418,3420,38.0,61,47,108,57,4,5,101,2,67.8,63.8,52.7,116.5,861,1595,1.61,1.24,2.84,1.5,2.74,1.78,1.39,3.17,1.68,3.07,29,26.5,42.9,38,418,3420,38.0,43,33,76,38,5,6,98,2,47.3,42.6,35.3,77.8,600,1206,1.13,0.87,2.0,1.0,1.87,1.24,0.93,2.17,1.12,2.05
Crystal Palace,29,26.2,42.8,38,418,3420,38.0,49,38,87,46,3,4,80,4,60.4,57.3,46.4,103.7,510,1158,1.29,1.0,2.29,1.21,2.21,1.59,1.22,2.81,1.51,2.73,29,26.1,57.2,38,418,3420,38.0,48,39,87,47,1,2,84,4,49.1,47.5,38.5,86.0,686,1578,1.26,1.03,2.29,1.24,2.26,1.29,1.01,2.31,1.25,2.26
Everton,26,28.0,40.9,38,418,3420,38.0,39,27,66,37,2,2,82,2,41.8,40.2,32.2,72.4,486,1041,1.03,0.71,1.74,0.97,1.68,1.1,0.85,1.95,1.06,1.91,26,26.2,59.1,38,418,3420,38.0,44,35,79,44,0,2,46,2,46.2,44.6,34.6,79.2,724,1627,1.16,0.92,2.08,1.16,2.08,1.22,0.91,2.13,1.17,2.08
Fulham,26,28.1,52.3,38,418,3420,38.0,53,44,97,50,3,4,80,2,49.0,45.9,37.5,83.4,786,1558,1.39,1.16,2.55,1.32,2.47,1.29,0.99,2.28,1.21,2.2,26,26.3,47.7,38,418,3420,38.0,52,40,92,49,3,4,67,3,47.2,44.1,34.4,78.5,654,1396,1.37,1.05,2.42,1.29,2.34,1.24,0.91,2.15,1.16,2.06
Ipswich,32,25.8,40.6,38,418,3420,38.0,35,26,61,33,2,2,93,5,34.4,32.8,24.2,57.0,513,935,0.92,0.68,1.61,0.87,1.55,0.9,0.64,1.54,0.86,1.5,32,26.3,59.4,38,418,3420,38.0,80,55,135,74,6,6,65,2,72.7,68.3,53.5,121.8,813,1726,2.11,1.45,3.55,1.95,3.39,1.91,1.41,3.32,1.8,3.21
