Squad,# Pl_x,Age_x,Poss_x,Playing Time_MP_x,Playing Time_Starts_x,Playing Time_Min_x,Playing Time_90s_x,Performance_Gls_x,Performance_Ast_x,Performance_G+A_x,Performance_G-PK_x,Performance_PK_x,Performance_PKatt_x,Performance_CrdY_x,Performance_CrdR_x,Expected_xG_x,Expected_npxG_x,Expected_xAG_x,Expected_npxG+xAG_x,Progression_PrgC_x,Progression_PrgP_x,Per 90 Minutes_Gls_x,Per 90 Minutes_Ast_x,Per 90 Minutes_G+A_x,Per 90 Minutes_G-PK_x,Per 90 Minutes_G+A-PK_x,Per 90 Minutes_xG_x,Per 90 Minutes_xAG_x,Per 90 Minutes_xG+xAG_x,Per 90 Minutes_npxG_x,Per 90 Minutes_npxG+xAG_x,# Pl_y,Age_y,Poss_y,Playing Time_MP_y,Playing Time_Starts_y,Playing Time_Min_y,Playing Time_90s_y,Performance_Gls_y,Performance_Ast_y,Performance_G+A_y,Performance_G-PK_y,Performance_PK_y,Performance_PKatt_y,Performance_CrdY_y,Performance_CrdR_y,Expected_xG_y,Expected_npxG_y,Expected_xAG_y,Expected_npxG+xAG_y,Progression_PrgC_y,Progression_PrgP_y,Per 90 Minutes_Gls_y,Per 90 Minutes_Ast_y,Per 90 Minutes_G+A_y,Per 90 Minutes_G-PK_y,Per 90 Minutes_G+A-PK_y,Per 90 Minutes_xG_y,Per 90 Minutes_xAG_y,Per 90 Minutes_xG+xAG_y,Per 90 Minutes_npxG_y,Per 90 Minutes_npxG+xAG_y
Arsenal,30,26.8,61.4,38,418,3420,38.0,73,61,134,69,4,5,57,,68.3,64.3,53.3,117.6,915,2223,1.92,1.61,3.53,1.82,3.42,1.8,1.4,3.2,1.69,3.1,30,27.0,38.6,38,418,3420,38.0,51,38,89,46,5,6,52,4,47.8,43.1,32.9,75.9,637,1188,1.34,1.0,2.34,1.21,2.21,1.26,0.87,2.12,1.13,2.0
Bournemouth,22,26.9,48.1,38,418,3420,38.0,45,36,81,42,3,3,57,,38.8,36.4,29.1,65.5,702,1526,1.18,0.95,2.13,1.11,2.05,1.02,0.77,1.79,0.96,1.72,22,26.9,51.9,38,418,3420,38.0,60,44,104,58,2,3,73,1,59.2,56.8,43.7,100.5,700,1665,1.58,1.16,2.74,1.53,2.68,1.56,1.15,2.71,1.5,2.65
Brighton,24,27.5,43.7,38,418,3420,38.0,33,25,58,28,5,7,54,,37.0,31.8,26.2,58.0,523,1230,0.87,0.66,1.53,0.74,1.39,0.97,0.69,1.66,0.84,1.53,24,27.0,56.3,38,418,3420,38.0,49,36,85,48,1,3,30,2,50.8,48.4,34.1,82.5,829,1816,1.29,0.95,2.24,1.26,2.21,1.34,0.9,2.23,1.27,2.17
Burnley,24,27.5,43.7,38,418,3420,38.0,35,26,61,35,0,0,65,,32.3,32.3,23.6,55.9,431,1103,0.92,0.68,1.61,0.92,1.61,0.85,0.62,1.47,0.85,1.47,24,27.0,56.3,38,418,3420,38.0,38,29,67,35,3,5,45,6,51.2,47.7,38.0,85.8,866,1572,1.0,0.76,1.76,0.92,1.68,1.35,1.0,2.35,1.26,2.26
Chelsea,26,26.7,55.6,38,418,3420,38.0,60,42,102,57,3,3,46,,54.4,52.0,41.5,93.5,1045,1998,1.58,1.11,2.68,1.5,2.61,1.43,1.09,2.52,1.37,2.46,26,26.9,44.4,38,418,3420,38.0,36,26,62,34,2,2,75,1,33.8,32.2,24.4,56.7,582,1400,0.95,0.68,1.63,0.89,1.58,0.89,0.64,1.53,0.85,1.49
Crystal Palace,28,27.1,45.2,38,418,3420,38.0,44,26,70,36,8,10,72,,53.5,45.9,33.3,79.2,727,1308,1.16,0.68,1.84,0.95,1.63,1.41,0.88,2.28,1.21,2.08,28,27.0,54.8,38,418,3420,38.0,53,40,93,51,2,2,72,3,48.2,46.7,36.2,82.8,744,1724,1.39,1.05,2.45,1.34,2.39,1.27,0.95,2.22,1.23,2.18
Everton,30,26.7,45.5,38,418,3420,38.0,42,26,68,37,5,8,55,,40.5,34.1,24.7,58.8,477,1161,1.11,0.68,1.79,0.97,1.66,1.07,0.65,1.71,0.9,1.55,30,27.0,54.5,38,418,3420,38.0,58,51,109,55,3,5,49,5,52.4,48.7,38.2,86.9,799,1608,1.53,1.34,2.87,1.45,2.79,1.38,1.01,2.38,1.28,2.29
Huddersfield,25,26.4,45.7,38,418,3420,38.0,25,19,44,23,2,2,65,,31.3,29.8,23.7,53.5,627,1210,0.66,0.5,1.16,0.61,1.11,0.82,0.62,1.45,0.78,1.41,25,27.0,54.3,38,418,3420,38.0,57,41,98,53,4,6,56,4,48.5,43.8,32.4,76.1,614,1669,1.5,1.08,2.58,1.39,2.47,1.28,0.85,2.13,1.15,2.0
Leicester,27,27.2,48.0,38,418,3420,38.0,53,38,91,48,5,6,60,,50.0,45.3,34.9,80.2,655,1271,1.39,1.0,2.39,1.26,2.26,1.32,0.92,2.24,1.19,2.11,27,26.8,52.0,38,418,3420,38.0,58,47,105,56,2,4,52,1,48.1,45.0,36.7,81.7,828,1658,1.53,1.24,2.76,1.47,2.71,1.27,0.97,2.23,1.18,2.15
Liverpool,27,25.6,60.3,38,418,3420,38.0,82,58,140,80,2,3,44,,72.9,70.6,52.7,123.3,982,2236,2.16,1.53,3.68,2.11,3.63,1.92,1.39,3.31,1.86,3.24,27,27.1,39.7,38,418,3420,38.0,38,23,61,34,4,6,50,0,33.8,29.0,21.6,50.6,504,1103,1.0,0.61,1.61,0.89,1.5,0.89,0.57,1.46,0.76,1.33
Man City,25,26.4,71.0,38,418,3420,38.0,103,85,188,97,6,8,63,,78.6,72.7,57.9,130.6,1308,2570,2.71,2.24,4.95,2.55,4.79,2.07,1.52,3.59,1.91,3.44,25,26.9,29.0,38,418,3420,38.0,25,17,42,25,0,2,77,3,23.8,22.2,16.4,38.7,331,713,0.66,0.45,1.11,0.66,1.11,0.63,0.43,1.06,0.59,1.02
Manchester Utd,27,26.7,54.7,38,418,3420,38.0,67,53,120,66,1,3,64,,55.7,53.3,40.5,93.8,920,1564,1.76,1.39,3.16,1.74,3.13,1.47,1.07,2.53,1.4,2.47,27,26.9,45.3,38,418,3420,38.0,26,18,44,25,1,1,69,1,40.7,39.9,30.9,70.8,779,1463,0.68,0.47,1.16,0.66,1.13,1.07,0.81,1.88,1.05,1.86
Newcastle Utd,27,25.6,41.7,38,418,3420,38.0,38,29,67,38,0,1,54,,41.6,40.9,32.1,72.9,548,1145,1.0,0.76,1.76,1.0,1.76,1.1,0.84,1.94,1.08,1.92,27,26.9,58.3,38,418,3420,38.0,44,32,76,40,4,6,62,0,52.4,47.6,37.4,85.1,685,1844,1.16,0.84,2.0,1.05,1.89,1.38,0.99,2.37,1.25,2.24
Southampton,26,26.2,51.3,38,418,3420,38.0,36,23,59,33,3,3,65,,39.9,37.6,29.5,67.0,694,1609,0.95,0.61,1.55,0.87,1.47,1.05,0.78,1.83,0.99,1.76,26,26.9,48.7,38,418,3420,38.0,56,43,99,55,1,2,51,2,45.2,43.6,33.7,77.3,670,1443,1.47,1.13,2.61,1.45,2.58,1.19,0.89,2.08,1.15,2.03
Stoke,30,27.5,41.4,38,418,3420,38.0,34,28,62,34,0,3,62,,36.5,34.1,27.4,61.4,477,1150,0.89,0.74,1.63,0.89,1.63,0.96,0.72,1.68,0.9,1.62,30,26.9,58.6,38,418,3420,38.0,66,49,115,61,5,5,49,0,62.5,58.6,46.3,104.9,889,1749,1.74,1.29,3.03,1.61,2.89,1.64,1.22,2.86,1.54,2.76
Swansea,26,27.2,45.3,38,418,3420,38.0,27,20,47,26,1,1,51,,31.6,30.8,20.2,51.0,596,1194,0.71,0.53,1.24,0.68,1.21,0.83,0.53,1.36,0.81,1.34,26,27.1,54.7,38,418,3420,38.0,54,37,91,51,3,6,68,0,58.6,53.8,42.1,95.9,765,1838,1.42,0.97,2.39,1.34,2.32,1.54,1.11,2.65,1.42,2.52
Tottenham,25,25.8,61.8,38,418,3420,38.0,70,51,121,68,2,3,52,,64.7,62.3,49.0,111.3,862,2249,1.84,1.34,3.18,1.79,3.13,1.7,1.29,2.99,1.64,2.93,25,26.9,38.2,38,418,3420,38.0,35,22,57,33,2,3,75,1,33.9,31.5,22.1,53.6,499,1028,0.92,0.58,1.5,0.87,1.45,0.89,0.58,1.47,0.83,1.41
Watford,29,27.9,49.7,38,418,3420,38.0,42,27,69,39,3,6,65,,45.0,40.2,29.2,69.4,647,1455,1.11,0.71,1.82,1.03,1.74,1.19,0.77,1.95,1.06,1.83,29,26.9,50.3,38,418,3420,38.0,63,43,106,57,6,6,65,3,51.8,47.2,36.4,83.6,685,1391,1.66,1.13,2.79,1.5,2.63,1.36,0.96,2.32,1.24,2.2
West Brom,24,29.1,40.7,38,418,3420,38.0,31,24,55,30,1,1,73,,36.5,35.7,25.9,61.6,507,1106,0.82,0.63,1.45,0.79,1.42,0.96,0.68,1.64,0.94,1.62,24,26.9,59.3,38,418,3420,38.0,54,44,98,53,1,1,56,1,47.9,47.1,36.8,83.9,903,1924,1.42,1.16,2.58,1.39,2.55,1.26,0.97,2.23,1.24,2.21
West Ham,27,28.0,45.2,38,418,3420,38.0,48,29,77,46,2,4,75,,36.7,33.6,24.9,58.4,523,1179,1.26,0.76,2.03,1.21,1.97,0.97,0.65,1.62,0.88,1.54,27,26.8,54.8,38,418,3420,38.0,67,48,115,62,5,6,55,1,55.1,50.7,39.1,89.8,857,1691,1.76,1.26,3.03,1.63,2.89,1.45,1.03,2.48,1.33,2.36
