Squad,# Pl_x,Age_x,Poss_x,Playing Time_MP_x,Playing Time_Starts_x,Playing Time_Min_x,Playing Time_90s_x,Performance_Gls_x,Performance_Ast_x,Performance_G+A_x,Performance_G-PK_x,Performance_PK_x,Performance_PKatt_x,Performance_CrdY_x,Performance_CrdR_x,Expected_xG_x,Expected_npxG_x,Expected_xAG_x,Expected_npxG+xAG_x,Progression_PrgC_x,Progression_PrgP_x,Per 90 Minutes_Gls_x,Per 90 Minutes_Ast_x,Per 90 Minutes_G+A_x,Per 90 Minutes_G-PK_x,Per 90 Minutes_G+A-PK_x,Per 90 Minutes_xG_x,Per 90 Minutes_xAG_x,Per 90 Minutes_xG+xAG_x,Per 90 Minutes_npxG_x,Per 90 Minutes_npxG+xAG_x,# Pl_y,Age_y,Poss_y,Playing Time_MP_y,Playing Time_Starts_y,Playing Time_Min_y,Playing Time_90s_y,Performance_Gls_y,Performance_Ast_y,Performance_G+A_y,Performance_G-PK_y,Performance_PK_y,Performance_PKatt_y,Performance_CrdY_y,Performance_CrdR_y,Expected_xG_y,Expected_npxG_y,Expected_xAG_y,Expected_npxG+xAG_y,Progression_PrgC_y,Progression_PrgP_y,Per 90 Minutes_Gls_y,Per 90 Minutes_Ast_y,Per 90 Minutes_G+A_y,Per 90 Minutes_G-PK_y,Per 90 Minutes_G+A-PK_y,Per 90 Minutes_xG_y,Per 90 Minutes_xAG_y,Per 90 Minutes_xG+xAG_y,Per 90 Minutes_npxG_y,Per 90 Minutes_npxG+xAG_y
Leicester,25,25.9,50.9,38,418,3420,38.0,48,34,82,43,5,7,63,5,52.4,47.3,37.6,84.9,752,1537,1.26,0.89,2.16,1.13,2.03,1.38,0.99,2.37,1.24,2.23,25,26.8,49.1,38,418,3420,38.0,48,36,84,43,5,5,70,6,43.7,39.8,30.7,70.5,695,1465,1.26,0.95,2.21,1.13,2.08,1.15,0.81,1.96,1.05,1.86
Liverpool,23,26.1,61.8,38,418,3420,38.0,86,55,141,79,7,7,41,2,73.7,68.4,49.8,118.2,857,2008,2.26,1.45,3.71,2.08,3.53,1.94,1.31,3.25,1.8,3.11,23,26.9,38.2,38,418,3420,38.0,22,16,38,22,0,1,48,1,28.8,28.0,20.2,48.3,528,1047,0.58,0.42,1.0,0.58,1.0,0.76,0.53,1.29,0.74,1.27
Man City,21,26.7,67.9,38,418,3420,38.0,91,71,162,88,3,4,44,1,84.3,81.3,65.5,146.7,1325,2429,2.39,1.87,4.26,2.32,4.18,2.22,1.72,3.94,2.14,3.86,21,26.6,32.1,38,418,3420,38.0,23,14,37,19,4,4,54,2,24.7,21.7,17.6,39.3,410,802,0.61,0.37,0.97,0.5,0.87,0.65,0.46,1.11,0.57,1.04
Manchester Utd,28,26.3,54.7,38,418,3420,38.0,65,40,105,56,9,12,77,4,61.4,52.0,39.6,91.6,801,1668,1.71,1.05,2.76,1.47,2.53,1.62,1.04,2.66,1.37,2.41,28,26.9,45.3,38,418,3420,38.0,51,37,88,45,6,6,67,1,50.6,45.9,36.7,82.6,748,1336,1.34,0.97,2.32,1.18,2.16,1.33,0.97,2.3,1.21,2.17
Newcastle Utd,24,26.9,40.4,38,418,3420,38.0,41,33,74,40,1,3,57,2,39.1,36.7,27.4,64.1,467,985,1.08,0.87,1.95,1.05,1.92,1.03,0.72,1.75,0.97,1.69,24,26.8,59.6,38,418,3420,38.0,47,32,79,41,6,6,58,1,53.6,49.2,39.5,88.7,811,1868,1.24,0.84,2.08,1.08,1.92,1.41,1.04,2.45,1.29,2.33
Southampton,30,25.4,43.4,38,418,3420,38.0,44,27,71,40,4,5,75,3,46.9,43.4,29.3,72.7,603,1333,1.16,0.71,1.87,1.05,1.76,1.23,0.77,2.0,1.14,1.91,30,26.7,56.6,38,418,3420,38.0,62,49,111,60,2,3,62,1,55.1,52.9,40.7,93.6,702,1574,1.63,1.29,2.92,1.58,2.87,1.45,1.07,2.52,1.39,2.46
Tottenham,28,26.8,59.0,38,418,3420,38.0,66,47,113,62,4,4,58,3,54.9,51.8,39.1,90.9,840,1744,1.74,1.24,2.97,1.63,2.87,1.44,1.03,2.47,1.36,2.39,28,26.7,41.0,38,418,3420,38.0,36,28,64,33,3,5,61,2,47.1,43.0,33.6,76.6,597,1198,0.95,0.74,1.68,0.87,1.61,1.24,0.88,2.12,1.13,2.02
Watford,25,28.5,46.7,38,418,3420,38.0,51,39,90,50,1,1,80,4,48.2,47.5,34.8,82.3,588,1294,1.34,1.03,2.37,1.32,2.34,1.27,0.92,2.19,1.25,2.17,25,26.8,53.3,38,418,3420,38.0,56,38,94,52,4,5,50,3,59.2,55.3,39.5,94.8,762,1605,1.47,1.0,2.47,1.37,2.37,1.56,1.04,2.6,1.45,2.49
West Ham,26,27.6,48.6,38,418,3420,38.0,51,33,84,46,5,5,59,1,47.6,43.8,34.1,77.9,731,1478,1.34,0.87,2.21,1.21,2.08,1.25,0.9,2.15,1.15,2.05,26,26.7,51.4,38,418,3420,38.0,54,40,94,50,4,5,57,1,61.9,58.0,46.7,104.7,853,1781,1.42,1.05,2.47,1.32,2.37,1.63,1.23,2.86,1.53,2.76
Wolves,21,26.1,46.8,38,418,3420,38.0,46,35,81,42,4,4,73,1,52.1,49.0,39.4,88.4,743,1350,1.21,0.92,2.13,1.11,2.03,1.37,1.04,2.41,1.29,2.33,21,26.8,53.2,38,418,3420,38.0,42,32,74,39,3,4,76,4,42.1,39.0,27.7,66.7,750,1573,1.11,0.84,1.95,1.03,1.87,1.11,0.73,1.84,1.03,1.76
