Squad,# Pl_x,Age_x,Poss_x,Playing Time_MP_x,Playing Time_Starts_x,Playing Time_Min_x,Playing Time_90s_x,Performance_Gls_x,Performance_Ast_x,Performance_G+A_x,Performance_G-PK_x,Performance_PK_x,Performance_PKatt_x,Performance_CrdY_x,Performance_CrdR_x,Expected_xG_x,Expected_npxG_x,Expected_xAG_x,Expected_npxG+xAG_x,Progression_PrgC_x,Progression_PrgP_x,Per 90 Minutes_Gls_x,Per 90 Minutes_Ast_x,Per 90 Minutes_G+A_x,Per 90 Minutes_G-PK_x,Per 90 Minutes_G+A-PK_x,Per 90 Minutes_xG_x,Per 90 Minutes_xAG_x,Per 90 Minutes_xG+xAG_x,Per 90 Minutes_npxG_x,Per 90 Minutes_npxG+xAG_x,# Pl_y,Age_y,Poss_y,Playing Time_MP_y,Playing Time_Starts_y,Playing Time_Min_y,Playing Time_90s_y,Performance_Gls_y,Performance_Ast_y,Performance_G+A_y,Performance_G-PK_y,Performance_PK_y,Performance_PKatt_y,Performance_CrdY_y,Performance_CrdR_y,Expected_xG_y,Expected_npxG_y,Expected_xAG_y,Expected_npxG+xAG_y,Progression_PrgC_y,Progression_PrgP_y,Per 90 Minutes_Gls_y,Per 90 Minutes_Ast_y,Per 90 Minutes_G+A_y,Per 90 Minutes_G-PK_y,Per 90 Minutes_G+A-PK_y,Per 90 Minutes_xG_y,Per 90 Minutes_xAG_y,Per 90 Minutes_xG+xAG_y,Per 90 Minutes_npxG_y,Per 90 Minutes_npxG+xAG_y
Arsenal,28,26.7,58.1,38,418,3420,38.0,69,52,121,65,4,5,74,2,60.1,56.0,46.7,102.7,868,1874,1.82,1.37,3.18,1.71,3.08,1.58,1.23,2.81,1.47,2.7,28,26.8,41.9,38,418,3420,38.0,50,32,82,43,7,7,76,2,54.2,48.8,36.8,85.5,683,1279,1.32,0.84,2.16,1.13,1.97,1.43,0.97,2.39,1.28,2.25
Bournemouth,28,26.6,46.9,38,418,3420,38.0,55,43,98,48,7,9,60,1,53.3,46.2,38.8,85.0,738,1435,1.45,1.13,2.58,1.26,2.39,1.4,1.02,2.42,1.22,2.24,28,26.8,53.1,38,418,3420,38.0,67,48,115,62,5,5,91,9,57.2,53.2,39.0,92.2,741,1675,1.76,1.26,3.03,1.63,2.89,1.5,1.03,2.53,1.4,2.43
Brighton,21,27.4,42.4,38,418,3420,38.0,35,24,59,30,5,6,62,4,35.3,30.7,24.5,55.2,475,1150,0.92,0.63,1.55,0.79,1.42,0.93,0.64,1.57,0.81,1.45,21,26.8,57.6,38,418,3420,38.0,60,39,99,50,10,10,52,2,59.1,51.4,38.7,90.1,845,1830,1.58,1.03,2.61,1.32,2.34,1.56,1.02,2.58,1.35,2.37
Burnley,23,28.0,41.2,38,418,3420,38.0,43,32,75,41,2,2,75,1,44.4,42.8,31.2,74.0,421,1032,1.13,0.84,1.97,1.08,1.92,1.17,0.82,1.99,1.13,1.95,23,26.7,58.8,38,418,3420,38.0,64,43,107,62,2,3,58,3,62.1,59.7,45.2,104.9,917,1721,1.68,1.13,2.82,1.63,2.76,1.63,1.19,2.82,1.57,2.76
Cardiff,25,27.7,35.4,38,418,3420,38.0,33,20,53,30,3,4,66,1,42.4,39.2,27.6,66.8,434,918,0.87,0.53,1.39,0.79,1.32,1.11,0.73,1.84,1.03,1.76,25,26.7,64.6,38,418,3420,38.0,69,53,122,65,4,7,49,3,61.5,56.0,43.4,99.3,872,1723,1.82,1.39,3.21,1.71,3.11,1.62,1.14,2.76,1.47,2.61
Chelsea,24,27.3,62.9,38,418,3420,38.0,61,52,113,56,5,5,49,0,58.6,54.6,44.9,99.6,1058,2155,1.61,1.37,2.97,1.47,2.84,1.54,1.18,2.72,1.44,2.62,24,26.8,37.1,38,418,3420,38.0,39,30,69,38,1,2,63,0,36.4,34.7,27.2,62.0,501,1127,1.03,0.79,1.82,1.0,1.79,0.96,0.72,1.67,0.91,1.63
Crystal Palace,26,27.4,45.2,38,418,3420,38.0,48,33,81,38,10,11,59,2,47.6,39.2,29.5,68.7,771,1458,1.26,0.87,2.13,1.0,1.87,1.25,0.78,2.03,1.03,1.81,26,26.7,54.8,38,418,3420,38.0,52,35,87,48,4,5,62,2,50.1,46.6,35.7,82.3,827,1894,1.37,0.92,2.29,1.26,2.18,1.32,0.94,2.26,1.23,2.17
Everton,23,25.7,51.5,38,418,3420,38.0,53,34,87,51,2,5,57,4,49.7,45.7,33.7,79.4,697,1581,1.39,0.89,2.29,1.34,2.24,1.31,0.89,2.19,1.2,2.09,23,26.8,48.5,38,418,3420,38.0,44,24,68,42,2,5,77,2,45.7,41.7,31.2,72.9,598,1360,1.16,0.63,1.79,1.11,1.74,1.2,0.82,2.02,1.1,1.92
Fulham,28,26.0,48.8,38,418,3420,38.0,33,24,57,31,2,3,72,2,41.3,39.0,30.0,69.0,628,1487,0.87,0.63,1.5,0.82,1.45,1.09,0.79,1.88,1.03,1.82,28,26.8,51.2,38,418,3420,38.0,79,59,138,74,5,7,43,0,68.2,62.7,48.2,110.9,816,1716,2.08,1.55,3.63,1.95,3.5,1.79,1.27,3.06,1.65,2.92
Huddersfield,31,26.2,47.2,38,418,3420,38.0,21,13,34,20,1,1,57,4,28.8,28.0,19.9,47.9,601,1248,0.55,0.34,0.89,0.53,0.87,0.76,0.52,1.28,0.74,1.26,31,26.5,52.8,38,418,3420,38.0,75,56,131,68,7,8,66,2,60.9,54.7,45.2,99.9,742,1590,1.97,1.47,3.45,1.79,3.26,1.6,1.19,2.79,1.44,2.63
