Squad,# Pl_x,Age_x,Poss_x,Playing Time_MP_x,Playing Time_Starts_x,Playing Time_Min_x,Playing Time_90s_x,Performance_Gls_x,Performance_Ast_x,Performance_G+A_x,Performance_G-PK_x,Performance_PK_x,Performance_PKatt_x,Performance_CrdY_x,Performance_CrdR_x,Expected_xG_x,Expected_npxG_x,Expected_xAG_x,Expected_npxG+xAG_x,Progression_PrgC_x,Progression_PrgP_x,Per 90 Minutes_Gls_x,Per 90 Minutes_Ast_x,Per 90 Minutes_G+A_x,Per 90 Minutes_G-PK_x,Per 90 Minutes_G+A-PK_x,Per 90 Minutes_xG_x,Per 90 Minutes_xAG_x,Per 90 Minutes_xG+xAG_x,Per 90 Minutes_npxG_x,Per 90 Minutes_npxG+xAG_x,# Pl_y,Age_y,Poss_y,Playing Time_MP_y,Playing Time_Starts_y,Playing Time_Min_y,Playing Time_90s_y,Performance_Gls_y,Performance_Ast_y,Performance_G+A_y,Performance_G-PK_y,Performance_PK_y,Performance_PKatt_y,Performance_CrdY_y,Performance_CrdR_y,Expected_xG_y,Expected_npxG_y,Expected_xAG_y,Expected_npxG+xAG_y,Progression_PrgC_y,Progression_PrgP_y,Per 90 Minutes_Gls_y,Per 90 Minutes_Ast_y,Per 90 Minutes_G+A_y,Per 90 Minutes_G-PK_y,Per 90 Minutes_G+A-PK_y,Per 90 Minutes_xG_y,Per 90 Minutes_xAG_y,Per 90 Minutes_xG+xAG_y,Per 90 Minutes_npxG_y,Per 90 Minutes_npxG+xAG_y
Arsenal,29,25.9,53.5,38,418,3420,38.0,53,38,91,47,6,6,49,5,51.7,47.0,35.1,82.1,758,1760,1.39,1.0,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16,29,26.7,46.2,38,418,3420,38.0,35,25,60,33,2,3,74,2,43.0,40.6,31.8,72.4,604,1175,0.92,0.66,1.58,0.87,1.53,1.13,0.84,1.97,1.07,1.91
Aston Villa,24,25.2,48.5,38,418,3420,38.0,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.0,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25,24,26.7,51.9,38,418,3420,38.0,45,30,75,40,5,6,73,7,51.1,46.4,31.1,77.5,726,1549,1.18,0.79,1.97,1.05,1.84,1.34,0.82,2.16,1.22,2.04
Brighton,27,25.8,51.1,38,418,3420,38.0,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77.0,685,1516,1.03,0.63,1.66,0.87,1.5,1.34,0.87,2.21,1.15,2.03,27,26.4,48.7,38,418,3420,38.0,44,30,74,38,6,7,51,2,35.3,29.8,23.3,53.2,587,1302,1.16,0.79,1.95,1.0,1.79,0.93,0.61,1.54,0.79,1.4
Burnley,25,28.3,42.1,38,418,3420,38.0,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.7,25,26.6,58.3,38,418,3420,38.0,54,47,101,51,3,3,32,2,54.7,52.3,42.5,94.8,884,1665,1.42,1.24,2.66,1.34,2.58,1.44,1.12,2.56,1.38,2.5
Chelsea,27,26.0,60.9,38,418,3420,38.0,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96.0,895,1798,1.47,1.0,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53,27,26.3,38.6,38,418,3420,38.0,35,26,61,32,3,4,56,3,30.3,27.1,20.2,47.3,497,1062,0.92,0.68,1.61,0.84,1.53,0.8,0.53,1.33,0.71,1.25
Crystal Palace,24,29.1,40.6,38,418,3420,38.0,39,29,68,36,3,4,56,2,34.1,31.0,23.6,54.6,526,1132,1.03,0.76,1.79,0.95,1.71,0.9,0.62,1.52,0.82,1.44,24,26.4,59.9,38,418,3420,38.0,66,47,113,63,3,4,44,4,58.2,55.1,42.7,97.8,666,1807,1.74,1.24,2.97,1.66,2.89,1.53,1.12,2.66,1.45,2.57
Everton,29,26.3,46.4,38,418,3420,38.0,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,1.18,0.84,2.03,1.08,1.92,1.2,0.81,2.01,1.1,1.91,29,26.4,53.5,38,418,3420,38.0,47,33,80,44,3,4,66,1,50.1,46.9,33.8,80.7,794,1664,1.24,0.87,2.11,1.16,2.03,1.32,0.89,2.21,1.24,2.12
Fulham,28,25.2,49.7,38,418,3420,38.0,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64,28,26.6,50.1,38,418,3420,38.0,52,34,86,45,7,7,40,1,52.6,47.2,37.4,84.5,559,1327,1.37,0.89,2.26,1.18,2.08,1.38,0.98,2.37,1.24,2.22
Leeds,23,26.1,57.3,38,418,3420,38.0,60,45,105,56,4,4,61,1,55.6,52.5,41.9,94.3,811,1633,1.58,1.18,2.76,1.47,2.66,1.46,1.1,2.57,1.38,2.48,23,26.5,42.4,38,418,3420,38.0,52,36,88,44,8,9,49,2,57.9,50.7,39.3,90.0,720,1201,1.37,0.95,2.32,1.16,2.11,1.52,1.03,2.56,1.33,2.37
Leicester,27,26.5,54.3,38,418,3420,38.0,64,45,109,54,10,12,61,0,55.8,46.3,33.7,80.1,666,1464,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11,27,26.5,45.4,38,418,3420,38.0,48,29,77,44,4,4,61,1,46.0,42.9,33.0,75.9,567,1254,1.26,0.76,2.03,1.16,1.92,1.21,0.87,2.08,1.13,2.0
Liverpool,28,26.8,62.1,38,418,3420,38.0,65,43,108,59,6,6,40,0,67.5,62.9,48.3,111.1,886,2057,1.71,1.13,2.84,1.55,2.68,1.78,1.27,3.05,1.65,2.92,28,26.6,37.6,38,418,3420,38.0,42,29,71,38,4,8,56,2,43.0,36.9,27.1,64.0,539,972,1.11,0.76,1.87,1.0,1.76,1.13,0.71,1.84,0.97,1.68
Man City,24,26.1,63.5,38,418,3420,38.0,82,55,137,77,5,9,46,2,68.2,61.2,45.4,106.6,1096,2051,2.16,1.45,3.61,2.03,3.47,1.8,1.19,2.99,1.61,2.81,24,26.4,36.1,38,418,3420,38.0,31,17,48,23,8,10,61,2,30.2,22.3,15.0,37.4,537,850,0.82,0.45,1.26,0.61,1.05,0.8,0.4,1.19,0.59,0.98
Manchester Utd,29,25.6,55.7,38,418,3420,38.0,70,51,121,60,10,11,64,1,60.1,51.4,41.6,93.1,877,1832,1.84,1.34,3.18,1.58,2.92,1.58,1.1,2.68,1.35,2.45,29,26.6,44.2,38,418,3420,38.0,42,28,70,38,4,4,64,3,41.4,38.4,28.7,67.0,573,1229,1.11,0.74,1.84,1.0,1.74,1.09,0.75,1.84,1.01,1.76
Newcastle Utd,27,27.1,38.8,38,418,3420,38.0,44,26,70,38,6,7,65,3,43.4,37.8,29.0,66.8,467,903,1.16,0.68,1.84,1.0,1.68,1.14,0.76,1.91,1.0,1.76,27,26.6,61.8,38,418,3420,38.0,59,41,100,55,4,5,60,3,58.3,54.4,40.5,94.9,851,1771,1.55,1.08,2.63,1.45,2.53,1.54,1.07,2.6,1.43,2.5
Sheffield Utd,27,26.7,41.7,38,418,3420,38.0,19,13,32,16,3,4,73,3,32.6,29.5,24.9,54.4,491,1196,0.5,0.34,0.84,0.42,0.76,0.86,0.66,1.52,0.78,1.43,27,26.7,58.5,38,418,3420,38.0,60,45,105,57,3,4,39,1,62.2,59.1,45.0,104.1,828,1606,1.58,1.18,2.76,1.5,2.68,1.64,1.18,2.82,1.56,2.74
Southampton,29,26.6,52.0,38,418,3420,38.0,47,33,80,42,5,6,52,3,41.2,36.6,25.8,62.5,626,1195,1.24,0.87,2.11,1.11,1.97,1.09,0.68,1.77,0.96,1.64,29,26.5,47.8,38,418,3420,38.0,67,44,111,59,8,9,58,3,53.1,46.1,34.6,80.6,555,1407,1.76,1.16,2.92,1.55,2.71,1.4,0.91,2.31,1.21,2.12
Tottenham,24,27.2,51.6,38,418,3420,38.0,66,50,116,61,5,5,57,2,53.1,49.2,35.3,84.4,633,1330,1.74,1.32,3.05,1.61,2.92,1.4,0.93,2.33,1.29,2.22,24,26.5,48.3,38,418,3420,38.0,42,24,66,32,10,10,77,1,49.1,41.2,31.8,73.1,723,1514,1.11,0.63,1.74,0.84,1.47,1.29,0.84,2.13,1.09,1.92
West Brom,30,26.4,37.9,38,418,3420,38.0,33,20,53,29,4,4,51,4,35.8,32.7,24.4,57.1,441,1027,0.87,0.53,1.39,0.76,1.29,0.94,0.64,1.59,0.86,1.5,30,26.6,62.4,38,418,3420,38.0,73,52,125,66,7,11,50,1,67.9,59.3,44.1,103.4,931,1802,1.92,1.37,3.29,1.74,3.11,1.79,1.16,2.95,1.56,2.72
West Ham,24,27.8,43.2,38,418,3420,38.0,60,46,106,58,2,4,50,3,55.4,52.1,39.6,91.7,659,1282,1.58,1.21,2.79,1.53,2.74,1.46,1.04,2.5,1.37,2.41,24,26.6,57.1,38,418,3420,38.0,43,34,77,40,3,5,52,1,48.7,44.8,36.6,81.4,826,1698,1.13,0.89,2.03,1.05,1.95,1.28,0.96,2.24,1.18,2.14
Wolves,27,26.3,49.3,38,418,3420,38.0,34,21,55,30,4,4,55,1,36.5,33.4,24.1,57.6,800,1283,0.89,0.55,1.45,0.79,1.34,0.96,0.63,1.6,0.88,1.51,27,26.6,50.7,38,418,3420,38.0,49,34,83,42,7,8,62,6,49.5,43.2,31.1,74.3,699,1574,1.29,0.89,2.18,1.11,2.0,1.3,0.82,2.12,1.14,1.95
