Squad,Offensive_Poss,Offensive_Performance_Gls,Offensive_Performance_Ast,Offensive_Performance_G+A,Offensive_Performance_G-PK,Offensive_Performance_PK,Offensive_Performance_PKatt,Offensive_Performance_CrdY,Offensive_Performance_CrdR,Offensive_Expected_xG,Offensive_Expected_npxG,Offensive_Expected_xAG,Offensive_Expected_npxG+xAG,Offensive_Progression_PrgC,Offensive_Progression_PrgP,Offensive_Per 90 Minutes_Gls,Offensive_Per 90 Minutes_Ast,Offensive_Per 90 Minutes_G+A,Offensive_Per 90 Minutes_G-PK,Offensive_Per 90 Minutes_G+A-PK,Offensive_Per 90 Minutes_xG,Offensive_Per 90 Minutes_xAG,Offensive_Per 90 Minutes_xG+xAG,Offensive_Per 90 Minutes_npxG,Offensive_Per 90 Minutes_npxG+xAG,Defensive_Poss,Defensive_Performance_Gls,Defensive_Performance_Ast,Defensive_Performance_G+A,Defensive_Performance_G-PK,Defensive_Performance_PK,Defensive_Performance_PKatt,Defensive_Performance_CrdY,Defensive_Performance_CrdR,Defensive_Expected_xG,Defensive_Expected_npxG,Defensive_Expected_xAG,Defensive_Expected_npxG+xAG,Defensive_Progression_PrgC,Defensive_Progression_PrgP,Defensive_Per 90 Minutes_Gls,Defensive_Per 90 Minutes_Ast,Defensive_Per 90 Minutes_G+A,Defensive_Per 90 Minutes_G-PK,Defensive_Per 90 Minutes_G+A-PK,Defensive_Per 90 Minutes_xG,Defensive_Per 90 Minutes_xAG,Defensive_Per 90 Minutes_xG+xAG,Defensive_Per 90 Minutes_npxG,Defensive_Per 90 Minutes_npxG+xAG
Arsenal,53.8,56,35,91,53,3,3,88,5,47.0,44.6,31.4,76.1,815,1641,1.47,0.92,2.39,1.39,2.32,1.24,0.83,2.06,1.17,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Villa,44.1,40,32,72,39,1,3,70,1,44.3,41.8,34.2,76.0,639,1247,1.05,0.84,1.89,1.03,1.87,1.16,0.9,2.06,1.1,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Bournemouth,44.1,38,24,62,34,4,4,78,3,44.8,41.7,30.6,72.3,601,1256,1.0,0.63,1.63,0.89,1.53,1.18,0.8,1.98,1.1,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,52.2,35,24,59,34,1,2,59,2,45.4,43.8,31.6,75.4,669,1675,0.92,0.63,1.55,0.89,1.53,1.2,0.83,2.03,1.15,1.99,,,,,,,,,,,,,,,,,,,,,,,,,
Burnley,41.9,41,30,71,38,3,3,67,0,47.4,45.3,32.4,77.7,437,890,1.08,0.79,1.87,1.0,1.79,1.25,0.85,2.1,1.19,2.04,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,60.4,69,46,115,62,7,7,60,0,69.2,64.4,46.7,111.1,983,1897,1.82,1.21,3.03,1.63,2.84,1.82,1.23,3.05,1.7,2.92,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Palace,44.8,29,20,49,26,3,3,62,2,35.8,33.6,26.0,59.5,596,1223,0.76,0.53,1.29,0.68,1.21,0.94,0.68,1.63,0.88,1.57,,,,,,,,,,,,,,,,,,,,,,,,,
Everton,49.0,42,32,74,41,1,1,76,3,50.8,50.0,38.1,88.1,623,1430,1.11,0.84,1.95,1.08,1.92,1.34,1.0,2.34,1.32,2.32,,,,,,,,,,,,,,,,,,,,,,,,,
Leicester City,57.1,65,48,113,60,5,7,43,3,62.2,56.7,44.9,101.6,739,1612,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,62.9,83,69,152,78,5,5,38,1,68.9,65.0,53.0,118.0,967,1941,2.18,1.82,4.0,2.05,3.87,1.81,1.39,3.21,1.71,3.1,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester City,66.2,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460,2.63,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
Manchester Utd,55.8,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36,,,,,,,,,,,,,,,,,,,,,,,,,
Newcastle Utd,39.0,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844,1.0,0.76,1.76,1.0,1.76,0.94,0.71,1.64,0.91,1.62,,,,,,,,,,,,,,,,,,,,,,,,,
Norwich City,49.3,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65,,,,,,,,,,,,,,,,,,,,,,,,,
