Squad,Offensive_Poss,Offensive_Performance_Gls,Offensive_Performance_Ast,Offensive_Performance_G+A,Offensive_Performance_G-PK,Offensive_Performance_PK,Offensive_Performance_PKatt,Offensive_Performance_CrdY,Offensive_Performance_CrdR,Offensive_Expected_xG,Offensive_Expected_npxG,Offensive_Expected_xAG,Offensive_Expected_npxG+xAG,Offensive_Progression_PrgC,Offensive_Progression_PrgP,Offensive_Per 90 Minutes_Gls,Offensive_Per 90 Minutes_Ast,Offensive_Per 90 Minutes_G+A,Offensive_Per 90 Minutes_G-PK,Offensive_Per 90 Minutes_G+A-PK,Offensive_Per 90 Minutes_xG,Offensive_Per 90 Minutes_xAG,Offensive_Per 90 Minutes_xG+xAG,Offensive_Per 90 Minutes_npxG,Offensive_Per 90 Minutes_npxG+xAG,Defensive_Poss,Defensive_Performance_Gls,Defensive_Performance_Ast,Defensive_Performance_G+A,Defensive_Performance_G-PK,Defensive_Performance_PK,Defensive_Performance_PKatt,Defensive_Performance_CrdY,Defensive_Performance_CrdR,Defensive_Expected_xG,Defensive_Expected_npxG,Defensive_Expected_xAG,Defensive_Expected_npxG+xAG,Defensive_Progression_PrgC,Defensive_Progression_PrgP,Defensive_Per 90 Minutes_Gls,Defensive_Per 90 Minutes_Ast,Defensive_Per 90 Minutes_G+A,Defensive_Per 90 Minutes_G-PK,Defensive_Per 90 Minutes_G+A-PK,Defensive_Per 90 Minutes_xG,Defensive_Per 90 Minutes_xAG,Defensive_Per 90 Minutes_xG+xAG,Defensive_Per 90 Minutes_npxG,Defensive_Per 90 Minutes_npxG+xAG
Arsenal,52.8,60,41,101,55,5,8,67,4,60.5,55.1,40.2,95.4,734,1655,1.58,1.08,2.66,1.45,2.53,1.59,1.06,2.65,1.45,2.51,,,,,,,,,,,,,,,,,,,,,,,,,
Aston Villa,46.5,50,42,92,47,3,3,81,2,44.0,42.0,34.8,76.8,653,1300,1.32,1.11,2.42,1.24,2.34,1.16,0.92,2.08,1.1,2.02,,,,,,,,,,,,,,,,,,,,,,,,,
Brentford,44.8,46,33,79,40,6,6,65,3,45.8,41.1,33.0,74.1,450,1189,1.21,0.87,2.08,1.05,1.92,1.21,0.87,2.07,1.08,1.95,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,54.4,40,30,70,36,4,7,72,2,46.2,40.7,32.3,72.9,676,1547,1.05,0.79,1.84,0.95,1.74,1.21,0.85,2.06,1.07,1.92,,,,,,,,,,,,,,,,,,,,,,,,,
Burnley,40.2,32,26,58,31,1,2,68,2,39.7,38.1,31.2,69.3,388,972,0.84,0.68,1.53,0.82,1.5,1.05,0.82,1.87,1.0,1.82,,,,,,,,,,,,,,,,,,,,,,,,,
Chelsea,61.8,75,52,127,67,8,9,63,1,63.4,56.6,44.9,101.5,894,1967,1.97,1.37,3.34,1.76,3.13,1.67,1.18,2.85,1.49,2.67,,,,,,,,,,,,,,,,,,,,,,,,,
Crystal Palace,51.1,50,31,81,44,6,8,69,1,46.4,40.1,31.0,71.1,592,1229,1.32,0.82,2.13,1.16,1.97,1.22,0.82,2.04,1.06,1.87,,,,,,,,,,,,,,,,,,,,,,,,,
Everton,40.0,42,29,71,36,6,7,82,6,41.2,35.8,28.5,64.3,512,1100,1.11,0.76,1.87,0.95,1.71,1.09,0.75,1.83,0.94,1.69,,,,,,,,,,,,,,,,,,,,,,,,,
Leeds United,52.3,42,26,68,37,5,5,101,3,44.4,40.4,31.3,71.8,671,1483,1.11,0.68,1.79,0.97,1.66,1.17,0.82,1.99,1.06,1.89,,,,,,,,,,,,,,,,,,,,,,,,,
Leicester City,52.0,62,46,108,60,2,2,55,1,47.8,46.2,34.2,80.4,622,1356,1.63,1.21,2.84,1.58,2.79,1.26,0.9,2.16,1.22,2.12,,,,,,,,,,,,,,,,,,,,,,,,,
