Squad,# Pl_x,Age_x,Poss_x,Playing Time_MP_x,Playing Time_Starts_x,Playing Time_Min_x,Playing Time_90s_x,Performance_Gls_x,Performance_Ast_x,Performance_G+A_x,Performance_G-PK_x,Performance_PK_x,Performance_PKatt_x,Performance_CrdY_x,Performance_CrdR_x,Expected_xG_x,Expected_npxG_x,Expected_xAG_x,Expected_npxG+xAG_x,Progression_PrgC_x,Progression_PrgP_x,Per 90 Minutes_Gls_x,Per 90 Minutes_Ast_x,Per 90 Minutes_G+A_x,Per 90 Minutes_G-PK_x,Per 90 Minutes_G+A-PK_x,Per 90 Minutes_xG_x,Per 90 Minutes_xAG_x,Per 90 Minutes_xG+xAG_x,Per 90 Minutes_npxG_x,Per 90 Minutes_npxG+xAG_x,# Pl_y,Age_y,Poss_y,Playing Time_MP_y,Playing Time_Starts_y,Playing Time_Min_y,Playing Time_90s_y,Performance_Gls_y,Performance_Ast_y,Performance_G+A_y,Performance_G-PK_y,Performance_PK_y,Performance_PKatt_y,Performance_CrdY_y,Performance_CrdR_y,Expected_xG_y,Expected_npxG_y,Expected_xAG_y,Expected_npxG+xAG_y,Progression_PrgC_y,Progression_PrgP_y,Per 90 Minutes_Gls_y,Per 90 Minutes_Ast_y,Per 90 Minutes_G+A_y,Per 90 Minutes_G-PK_y,Per 90 Minutes_G+A-PK_y,Per 90 Minutes_xG_y,Per 90 Minutes_xAG_y,Per 90 Minutes_xG+xAG_y,Per 90 Minutes_npxG_y,Per 90 Minutes_npxG+xAG_y
Arsenal,25,25.0,58.2,38,418,3420,38.0,86,62,148,76,10,10,64,2,76.1,68.5,55.3,123.8,821,2106,2.26,1.63,3.89,2.0,3.63,2.0,1.46,3.46,1.8,3.26,25,26.3,41.8,38,418,3420,38.0,28,20,48,26,2,3,82,2,27.9,25.7,19.9,45.6,534,938,0.74,0.53,1.26,0.68,1.21,0.73,0.52,1.26,0.68,1.2
Aston Villa,31,26.9,53.1,38,418,3420,38.0,72,55,127,68,4,4,94,2,63.3,60.3,48.6,108.9,775,1451,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87,31,26.2,46.9,38,418,3420,38.0,57,45,102,56,1,2,94,4,59.9,58.2,48.9,107.2,640,1255,1.5,1.18,2.68,1.47,2.66,1.58,1.29,2.87,1.53,2.82
Bournemouth,30,25.7,44.4,38,418,3420,38.0,52,39,91,50,2,3,79,3,55.9,53.6,40.5,94.0,709,1314,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47,30,26.2,55.6,38,418,3420,38.0,66,44,110,60,6,7,82,2,58.1,52.5,39.9,92.4,720,1500,1.74,1.16,2.89,1.58,2.74,1.53,1.05,2.58,1.38,2.43
Brentford,28,26.6,45.2,38,418,3420,38.0,54,38,92,51,3,3,89,2,58.2,56.0,42.7,98.8,505,1283,1.42,1.0,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6,28,26.1,54.8,38,418,3420,38.0,65,50,115,63,2,2,75,4,56.0,54.4,43.6,98.0,847,1585,1.71,1.32,3.03,1.66,2.97,1.47,1.15,2.62,1.43,2.58
Brighton,30,25.9,59.8,38,418,3420,38.0,50,36,86,45,5,6,90,3,56.8,52.2,41.6,93.8,864,1780,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47,30,26.3,40.2,38,418,3420,38.0,60,42,102,54,6,6,99,5,55.4,50.7,39.3,90.0,651,1175,1.58,1.11,2.68,1.42,2.53,1.46,1.03,2.49,1.33,2.37
Burnley,31,24.5,47.4,38,418,3420,38.0,40,30,70,37,3,3,77,7,40.6,38.3,29.7,68.0,727,1181,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79,31,26.3,52.6,38,418,3420,38.0,75,54,129,69,6,7,84,3,70.4,64.9,52.0,116.9,711,1501,1.97,1.42,3.39,1.82,3.24,1.85,1.37,3.22,1.71,3.08
Chelsea,32,24.2,58.6,38,418,3420,38.0,76,51,127,65,11,12,109,4,74.5,65.1,51.4,116.5,873,1615,2.0,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06,32,26.3,41.4,38,418,3420,38.0,60,43,103,57,3,5,100,4,58.1,54.1,42.0,96.1,727,1368,1.58,1.13,2.71,1.5,2.63,1.53,1.1,2.63,1.42,2.53
Crystal Palace,26,26.7,42.3,38,418,3420,38.0,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21,26,26.3,57.7,38,418,3420,38.0,56,46,102,53,3,3,78,2,52.0,49.6,40.3,89.9,679,1713,1.47,1.21,2.68,1.39,2.61,1.37,1.06,2.43,1.31,2.37
Everton,26,27.1,40.8,38,418,3420,38.0,40,17,57,38,2,3,82,1,54.0,51.6,38.1,89.8,495,1129,1.05,0.45,1.5,1.0,1.45,1.42,1.0,2.43,1.36,2.36,26,26.3,59.2,38,418,3420,38.0,48,30,78,40,8,8,61,2,55.2,49.1,37.3,86.5,790,1642,1.26,0.79,2.05,1.05,1.84,1.45,0.98,2.43,1.29,2.28
Fulham,25,28.4,50.6,38,418,3420,38.0,54,40,94,52,2,2,84,4,50.8,49.2,37.6,86.8,670,1467,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29,25,26.1,49.4,38,418,3420,38.0,57,36,93,49,8,8,65,0,62.9,56.9,43.7,100.7,684,1533,1.5,0.95,2.45,1.29,2.24,1.66,1.15,2.81,1.5,2.65
Liverpool,30,26.3,61.3,38,418,3420,38.0,80,60,140,74,6,9,69,5,87.8,80.4,63.7,144.1,924,2110,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79,30,26.2,38.7,38,418,3420,38.0,39,27,66,38,1,1,98,4,45.7,45.0,33.9,78.9,559,1154,1.03,0.71,1.74,1.0,1.71,1.2,0.89,2.1,1.18,2.08
Luton Town,28,26.7,42.4,38,418,3420,38.0,49,33,82,44,5,5,71,0,42.4,38.6,29.5,68.2,675,1113,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79,28,26.5,57.6,38,418,3420,38.0,81,57,138,77,4,4,73,2,78.0,74.9,56.8,131.7,723,1495,2.13,1.5,3.63,2.03,3.53,2.05,1.49,3.55,1.97,3.47
Man City,25,26.6,65.2,38,418,3420,38.0,94,69,163,85,9,10,53,2,80.5,72.9,60.2,133.1,1127,2060,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.7,1.92,3.5,25,26.4,34.8,38,418,3420,38.0,33,23,56,30,3,3,93,2,35.6,33.2,26.4,59.6,470,824,0.87,0.61,1.47,0.79,1.39,0.94,0.69,1.63,0.87,1.57
Manchester Utd,31,26.1,50.6,38,418,3420,38.0,57,36,93,51,6,7,83,1,56.5,51.0,40.1,91.0,758,1479,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4,31,26.2,49.4,38,418,3420,38.0,57,39,96,50,7,7,85,1,68.9,63.4,51.1,114.5,862,1578,1.5,1.03,2.53,1.32,2.34,1.81,1.34,3.16,1.67,3.01
Newcastle Utd,32,27.2,52.2,38,418,3420,38.0,83,55,138,75,8,9,79,1,76.0,69.0,51.3,120.3,737,1557,2.18,1.45,3.63,1.97,3.42,2.0,1.35,3.35,1.82,3.17,32,26.2,47.8,38,418,3420,38.0,61,47,108,57,4,5,97,3,61.4,57.4,46.3,103.7,699,1343,1.61,1.24,2.84,1.5,2.74,1.62,1.22,2.83,1.51,2.73
Nott'ham Forest,33,25.7,40.6,38,418,3420,38.0,49,43,92,48,1,1,82,3,49.9,49.1,37.9,87.0,601,1141,1.29,1.13,2.42,1.26,2.39,1.31,1.0,2.31,1.29,2.29,33,26.4,59.4,38,418,3420,38.0,65,48,113,61,4,4,81,7,53.3,50.1,37.1,87.2,815,1901,1.71,1.26,2.97,1.61,2.87,1.4,0.98,2.38,1.32,2.29
Sheffield Utd,35,25.7,35.8,38,418,3420,38.0,31,18,49,26,5,5,101,5,38.3,34.5,25.8,60.3,346,884,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.59,35,26.4,64.2,38,418,3420,38.0,97,75,172,92,5,7,53,2,76.6,71.2,57.0,128.2,964,1975,2.55,1.97,4.53,2.42,4.39,2.02,1.5,3.52,1.87,3.37
Tottenham,29,25.2,61.6,38,418,3420,38.0,69,58,127,67,2,2,92,4,68.2,66.7,57.4,124.1,957,2107,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27,29,26.4,38.4,38,418,3420,38.0,58,39,97,51,7,7,100,4,63.4,58.4,42.1,100.5,525,1103,1.53,1.03,2.55,1.34,2.37,1.67,1.11,2.77,1.54,2.64
West Ham,26,28.3,41.1,38,418,3420,38.0,58,40,98,54,4,5,82,3,52.3,48.4,34.8,83.2,556,1207,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19,26,26.1,58.9,38,418,3420,38.0,70,51,121,62,8,10,71,2,71.1,63.2,51.1,114.3,963,2015,1.84,1.34,3.18,1.63,2.97,1.87,1.35,3.22,1.66,3.01
Wolves,27,26.6,48.9,38,418,3420,38.0,47,36,83,43,4,4,102,4,46.7,43.6,31.8,75.4,671,1180,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98,27,26.4,51.1,38,418,3420,38.0,64,43,107,56,8,8,84,3,67.7,61.4,48.0,109.5,734,1742,1.68,1.13,2.82,1.47,2.61,1.78,1.26,3.05,1.62,2.88
